"GEO_ID","NAME","B25049_001E","B25049_001M","B25049_002E","B25049_002M","B25049_003E","B25049_003M","B25049_004E","B25049_004M","B25049_005E","B25049_005M","B25049_006E","B25049_006M","B25049_007E","B25049_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!Complete plumbing facilities","Margin of Error!!Total:!!Owner occupied:!!Complete plumbing facilities","Estimate!!Total:!!Owner occupied:!!Lacking plumbing facilities","Margin of Error!!Total:!!Owner occupied:!!Lacking plumbing facilities","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!Complete plumbing facilities","Margin of Error!!Total:!!Renter occupied:!!Complete plumbing facilities","Estimate!!Total:!!Renter occupied:!!Lacking plumbing facilities","Margin of Error!!Total:!!Renter occupied:!!Lacking plumbing facilities",
"0400000US12","Florida","7905832","23042","5237519","29214","5224788","29197","12731","2181","2668313","27920","2658157","27958","10156","1808",
"0500000US12001","Alachua County, Florida","103024","2847","55654","2162","55544","2160","110","136","47370","3220","47370","3220","0","234",
"0500000US12005","Bay County, Florida","69195","2744","48931","3042","48810","3052","121","129","20264","2725","19703","2717","561","684",
"0500000US12009","Brevard County, Florida","230043","4772","178306","5535","177980","5571","326","299","51737","3810","51687","3816","50","83",
"0500000US12011","Broward County, Florida","705472","7707","438749","7987","437095","8170","1654","801","266723","8120","265918","8217","805","528",
"0500000US12015","Charlotte County, Florida","76589","3272","62695","2943","62695","2943","0","234","13894","1987","13572","1951","322","314",
"0500000US12017","Citrus County, Florida","64448","2659","53473","2592","53436","2589","37","61","10975","1747","10975","1747","0","234",
"0500000US12019","Clay County, Florida","75793","1945","60250","2617","60250","2617","0","234","15543","2421","15441","2403","102","171",
"0500000US12021","Collier County, Florida","140578","5062","104357","4817","104135","4800","222","164","36221","3086","36221","3086","0","234",
"0500000US12023","Columbia County, Florida","25240","1483","16910","1503","16910","1503","0","234","8330","1342","8029","1312","301","361",
"0500000US12031","Duval County, Florida","368668","4596","210184","5383","209664","5419","520","586","158484","5983","158397","5994","87","108",
"0500000US12033","Escambia County, Florida","120618","3101","72778","3204","72321","3234","457","331","47840","2852","47590","2873","250","264",
"0500000US12035","Flagler County, Florida","44464","1735","34692","1831","34692","1831","0","234","9772","1511","9772","1511","0","234",
"0500000US12053","Hernando County, Florida","78755","1776","63644","2376","63505","2373","139","137","15111","2135","15031","2135","80","104",
"0500000US12055","Highlands County, Florida","43351","2443","34686","2327","34525","2321","161","195","8665","1707","8665","1707","0","234",
"0500000US12057","Hillsborough County, Florida","541584","4189","324271","5661","323300","5524","971","450","217313","5170","216380","5118","933","628",
"0500000US12061","Indian River County, Florida","63917","2654","49409","2399","49195","2402","214","217","14508","2136","14388","2172","120","211",
"0500000US12069","Lake County, Florida","139192","3527","102101","4559","102101","4559","0","234","37091","3269","37091","3269","0","234",
"0500000US12071","Lee County, Florida","286887","5798","216615","5100","216071","5093","544","463","70272","4329","70165","4324","107","131",
"0500000US12073","Leon County, Florida","116283","2781","60290","2870","60290","2870","0","234","55993","3568","55456","3586","537","613",
"0500000US12081","Manatee County, Florida","145171","4572","111853","4379","111853","4379","0","234","33318","3517","33245","3513","73","132",
"0500000US12083","Marion County, Florida","145622","4007","104152","3811","103688","3783","464","407","41470","3639","41319","3679","151","188",
"0500000US12085","Martin County, Florida","65014","2055","50952","2526","50717","2490","235","245","14062","2368","14062","2368","0","234",
"0500000US12086","Miami-Dade County, Florida","912805","5898","459877","7333","458035","7289","1842","850","452928","7798","450531","7963","2397","1042",
"0500000US12087","Monroe County, Florida","32839","2048","18641","1326","18641","1326","0","234","14198","1536","14098","1549","100","132",
"0500000US12089","Nassau County, Florida","35212","1465","28868","1579","28868","1579","0","234","6344","1355","6344","1355","0","234",
"0500000US12091","Okaloosa County, Florida","76097","2603","50128","2843","49995","2820","133","164","25969","2372","25969","2372","0","234",
"0500000US12095","Orange County, Florida","457949","6978","262330","7448","261929","7469","401","285","195619","7674","194897","7579","722","488",
"0500000US12097","Osceola County, Florida","111539","4304","69399","3769","69399","3769","0","234","42140","4301","42140","4301","0","234",
"0500000US12099","Palm Beach County, Florida","568915","6021","395678","6455","394926","6483","752","395","173237","6675","172500","6512","737","522",
"0500000US12101","Pasco County, Florida","212856","4410","159385","4346","158269","4337","1116","656","53471","3780","53107","3782","364","410",
"0500000US12103","Pinellas County, Florida","395286","6581","272491","6481","272273","6465","218","163","122795","5369","122375","5337","420","329",
"0500000US12105","Polk County, Florida","238629","5267","165489","4502","165409","4478","80","132","73140","4310","72905","4293","235","185",
"0500000US12107","Putnam County, Florida","30866","1415","20296","1556","20226","1559","70","90","10570","1753","10556","1754","14","27",
"0500000US12109","St. Johns County, Florida","94761","2990","78695","3482","78544","3463","151","252","16066","2192","16066","2192","0","234",
"0500000US12111","St. Lucie County, Florida","116900","4160","88743","4370","88664","4393","79","141","28157","4250","28157","4250","0","234",
"0500000US12113","Santa Rosa County, Florida","66187","2766","49872","2804","49631","2809","241","225","16315","2320","16315","2320","0","234",
"0500000US12115","Sarasota County, Florida","187411","4122","143001","4455","142914","4435","87","143","44410","3476","44138","3474","272","308",
"0500000US12117","Seminole County, Florida","181142","2623","117029","4010","116763","3965","266","276","64113","3844","63916","3881","197","196",
"0500000US12119","Sumter County, Florida","59458","3085","52596","2861","52580","2864","16","33","6862","1716","6862","1716","0","234",
"0500000US12127","Volusia County, Florida","219451","3752","157050","3996","156773","3990","277","191","62401","3952","62359","3957","42","66",
"0500000US12131","Walton County, Florida","26475","2685","20714","2270","20573","2247","141","229","5761","1578","5761","1578","0","234",
